-37.99395,1.212452,121.455429,154.110672,65.8239441,-152.597458,0.011475,0.0274025,-0.00725,0.01525,0.013975,-0.019,-0.125141487,-0.04572892,-0.217215955,0.179320787,0.008825276,-0.000815958
-37.9939041,1.21256161,121.4554,154.110733,65.824,-152.597534,0.053525,0.133365,-0.0385,0.06675,0.065,-0.08775,-0.125903592,-0.04481966,-0.2166621,0.1799671,0.009059234,-0.001274296
-37.99369,1.21309507,121.455246,154.111,65.82426,-152.597885,0.128625,0.3227325,-0.0935,0.15825,0.16,-0.2175,-0.129009441,-0.045788847,-0.213742122,0.178750215,0.008923187,-0.001644926
-37.9931755,1.214386,121.454872,154.111633,65.8249,-152.598755,0.223875,0.5578675,-0.16025,0.27475,0.275,-0.37775,-0.136828363,-0.044750426,-0.205693439,0.179062155,0.009094793,-0.002103095
-37.99228,1.21661747,121.454231,154.112732,65.826,-152.600266,0.318775,0.79566,-0.22875,0.389,0.3925,-0.5335,-0.150228173,-0.044914648,-0.192981377,0.179357334,0.009251329,-0.002540321
-37.9910049,1.21980011,121.453316,154.114288,65.82757,-152.6024,0.414825,1.0333675,-0.2975,0.51125,0.51,-0.7,-0.167383209,-0.046957828,-0.180057749,0.177562369,0.007245505,0.000228855
-37.9893456,1.22393358,121.452126,154.116333,65.82961,-152.6052,0.510225,1.2710375,-0.3645,0.6255,0.6275,-0.853,-0.18986018,-0.050714165,-0.16039148,0.177468422,0.007024484,0.00038428
-37.9873047,1.22901773,121.450668,154.118835,65.83212,-152.608612,0.605575,1.508655,-0.43475,0.744,0.745,-1.0185,-0.2148063,-0.054917723,-0.141051292,0.178284248,0.007501762,-0.001807647
-37.9848824,1.23505235,121.448929,154.121811,65.8351,-152.612686,0.701925,1.7461475,-0.5035,0.85825,0.8625,-1.175,-0.239077,-0.056217786,-0.126441285,0.178182361,0.007189933,-0.001869768
-37.9820747,1.24203694,121.446915,154.125244,65.83855,-152.617386,0.79725,1.9836125,-0.5705,0.9765,0.9775,-1.335,-0.260811061,-0.05556555,-0.119183332,0.178019604,0.006685882,-0.001850839
-37.9788857,1.24997139,121.444633,154.12915,65.84246,-152.622726,0.893925,2.2210175,-0.63875,1.095,1.0975,-1.4955,-0.280812383,-0.052983258,-0.110667847,0.178214939,0.009100311,-0.006653944
-37.97531,1.25885546,121.442078,154.13353,65.84685,-152.628708,0.99,2.458335,-0.70775,1.213,1.2125,-1.65925,-0.296883255,-0.044130933,-0.108810179,0.177999706,0.008809372,-0.007330522
-37.97135,1.2686888,121.439247,154.138382,65.8517,-152.635345,1.085,2.69562,-0.77825,1.3295,1.33,-1.816,-0.312674582,-0.033348672,-0.09787603,0.184959016,0.013867579,-0.01110604
-37.96701,1.27947128,121.436134,154.1437,65.85702,-152.642609,1.181475,2.9327875,-0.84475,1.4475,1.445,-1.976,-0.3217959,-0.026913762,-0.09809527,0.18597869,0.014421861,-0.012191998
-37.9622841,1.29120243,121.432755,154.14949,65.8628,-152.650513,1.277925,3.1699525,-0.91375,1.564,1.565,-2.13225,-0.3315965,-0.031319574,-0.09182653,0.179203629,0.01716479,-0.001473784
-37.9571724,1.30388224,121.4291,154.155746,65.86906,-152.659042,1.37425,3.4070025,-0.98025,1.6825,1.68,-2.2965,-0.344812036,-0.03031365,-0.075016536,0.178632282,0.018277509,-0.000147989
-37.9516754,1.31751025,121.425179,154.162476,65.87578,-152.668228,1.47055,3.64399,-1.051,1.7965,1.796275,-2.45675,-0.360885024,-0.03446334,-0.050348163,0.178067262,0.01943097,0.00117214
-37.9457932,1.33208621,121.420975,154.169662,65.8829651,-152.678055,1.5658,3.8809475,-1.11875,1.915,1.913725,-2.61125,-0.380793482,-0.032816146,-0.016816936,0.187239431,0.02100509,-0.006637397
-37.93953,1.34761,121.4165,154.177322,65.89062,-152.6885,1.6643,4.117785,-1.18925,2.03325,2.03,-2.77875,-0.402084142,-0.040691476,0.017074535,0.188437752,0.022234192,-0.006957279
-37.9328728,1.36408114,121.411743,154.185455,65.89874,-152.699615,1.759525,4.3545975,-1.255,2.1515,2.146425,-2.9335,-0.4161523,-0.05422193,0.027383812,0.177660636,0.013312309,0.000742992
-37.9258347,1.38149953,121.406723,154.194061,65.9073257,-152.711349,1.856825,4.591345,-1.3255,2.26975,2.263575,-3.09375,-0.431205243,-0.06444412,0.044180043,0.175850073,0.012137587,0.002679942
-37.9184074,1.39986491,121.401421,154.20314,65.91638,-152.723724,1.953125,4.8280075,-1.3925,2.38425,2.38,-3.254,-0.442204148,-0.0706966,0.054058682,0.173895399,0.010747596,0.004808209
-37.9105949,1.41917694,121.395851,154.212677,65.9259,-152.73674,2.049425,5.064635,-1.46275,2.5025,2.495,-3.415,-0.449526578,-0.07133361,0.054709178,0.17234287,0.007885104,0.005732177
-37.9023972,1.43943548,121.39,154.222687,65.93588,-152.7504,2.1468,5.3011475,-1.52975,2.62075,2.6137,-3.56975,-0.454660863,-0.0690489,0.049873255,0.170544713,0.005818624,0.007579087
-37.89381,1.46064007,121.383881,154.23317,65.9463348,-152.764679,2.243925,5.5373925,-1.5985,2.73875,2.7288,-3.7345,-0.464745849,-0.061338972,0.055813085,0.184635021,0.011015227,0.006137141
-37.8848343,1.48278964,121.377487,154.244125,65.95725,-152.779617,2.329825,5.7466625,-1.66125,2.84375,2.831125,-3.87075,-0.4741009,-0.058106486,0.05294097,0.186222646,0.010317067,0.00729158
